Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Unused Ignore
2019-01-01 07:00:00+07:00,3701.23,3810.16,3642.0,3797.14,23741.687033,2019-01-02 06:59:59.999000+07:00,88149249.09230461,154227,12919.15589900,47973435.86685800,0
2019-01-02 07:00:00+07:00,3796.45,3882.14,3750.45,3858.56,35156.463369,2019-01-03 06:59:59.999000+07:00,133876627.24651060,218538,17921.60011400,68277897.66105788,0
2019-01-03 07:00:00+07:00,3857.57,3862.74,3730.0,3766.78,29406.948359,2019-01-04 06:59:59.999000+07:00,111657372.69526468,199812,14793.08326700,56172495.42692984,0
2019-01-04 07:00:00+07:00,3767.2,3823.64,3703.57,3792.01,29519.554671,2019-01-05 06:59:59.999000+07:00,111034550.64066196,192232,15579.30325800,58616203.97789647,0
2019-01-05 07:00:00+07:00,3790.09,3840.99,3751.0,3770.96,30490.667751,2019-01-06 06:59:59.999000+07:00,115893501.27515878,203673,14908.91417500,56667455.38615935,0
2019-01-06 07:00:00+07:00,3771.12,4027.71,3740.0,3987.6,36553.806709,2019-01-07 06:59:59.999000+07:00,142198812.18914709,240496,19772.88700800,76903705.93007119,0
2019-01-07 07:00:00+07:00,3987.62,4017.9,3921.53,3975.45,31869.846264,2019-01-08 06:59:59.999000+07:00,126830380.49287239,221219,16404.35224100,65287611.65056139,0
2019-01-08 07:00:00+07:00,3976.76,4069.8,3903.0,3955.13,38901.423122,2019-01-09 06:59:59.999000+07:00,154778846.54236616,242898,20047.97760100,79781104.89538665,0
2019-01-09 07:00:00+07:00,3955.45,4006.81,3930.04,3966.65,28989.439511,2019-01-10 06:59:59.999000+07:00,115218950.31554872,209240,14984.33702000,59559010.74523400,0
2019-01-10 07:00:00+07:00,3966.06,3996.01,3540.0,3585.88,59402.22851,2019-01-11 06:59:59.999000+07:00,221789348.03469807,374760,28288.32257400,105616252.06340843,0
2019-01-11 07:00:00+07:00,3585.88,3658.0,3465.0,3601.31,38338.654733,2019-01-12 06:59:59.999000+07:00,137560743.62485982,264996,19907.35058600,71430015.64522145,0
2019-01-12 07:00:00+07:00,3601.31,3618.19,3530.0,3583.13,21999.928354,2019-01-13 06:59:59.999000+07:00,78908770.67658037,175679,11645.59884600,41778835.50680978,0
2019-01-13 07:00:00+07:00,3584.1,3611.1,3441.3,3476.81,26385.757454,2019-01-14 06:59:59.999000+07:00,92882249.46737902,183113,13692.42064000,48229503.01532720,0
2019-01-14 07:00:00+07:00,3477.56,3671.87,3467.02,3626.09,35235.211215,2019-01-15 06:59:59.999000+07:00,125631820.06705057,229452,18416.41690200,65668831.10400985,0
2019-01-15 07:00:00+07:00,3626.08,3648.42,3516.62,3553.06,34137.997459,2019-01-16 06:59:59.999000+07:00,122785440.22887539,231684,17225.62243400,61971796.91256990,0
2019-01-16 07:00:00+07:00,3553.06,3645.0,3543.51,3591.84,27480.179977,2019-01-17 06:59:59.999000+07:00,98504455.20666535,205159,14183.69988000,50843136.81523343,0
2019-01-17 07:00:00+07:00,3591.84,3634.7,3530.39,3616.21,29755.440838,2019-01-18 06:59:59.999000+07:00,106709136.97324342,217797,16010.50339500,57427195.93767381,0
2019-01-18 07:00:00+07:00,3613.32,3620.0,3565.75,3594.87,22713.446755,2019-01-19 06:59:59.999000+07:00,81699723.54479144,177567,12611.08375700,45362975.23668103,0
2019-01-19 07:00:00+07:00,3594.87,3720.0,3594.23,3665.3,22171.578123,2019-01-20 06:59:59.999000+07:00,81354185.90325992,175054,11637.25817100,42690540.30785225,0
2019-01-20 07:00:00+07:00,3665.75,3693.73,3475.0,3539.28,27901.938598,2019-01-21 06:59:59.999000+07:00,99767239.95381454,204941,13875.11138100,49633530.63808028,0
2019-01-21 07:00:00+07:00,3539.26,3559.51,3475.5,3526.9,19644.436839,2019-01-22 06:59:59.999000+07:00,69316548.76685554,160825,10462.02027800,36918177.63501831,0
2019-01-22 07:00:00+07:00,3526.88,3608.5,3434.85,3570.93,29336.442967,2019-01-23 06:59:59.999000+07:00,103804480.11605988,195484,15661.33300100,55461347.69397660,0
